episode,rewards_total
389,-0.617349468756
390,5.89423884636
391,-4.92305177367
392,7.23529195792
393,2.02871008997
394,-113.97454534
395,-8.79291558088
396,1.01485596945
397,6.79311285629
398,4.64858879828
399,-4.12479545392
400,13.5785287484
401,-18.6250846727
402,17.831777816
403,6.91216145199
404,-25.4241880459
405,-0.0068333014632
406,1.34735432868
407,-7.3403888298
408,-4.10061475102
409,6.22941716096
410,-0.762473433695
411,3.20838489561
412,2.67102150655
413,-3.50027528877
414,3.69889449437
415,13.6598701998
416,4.23670217627
417,0.74112941385
418,1.04173377457
419,1.02476377576
420,1.51102751743
421,0.439579674678
422,-1.83228408815
423,-2.97790932577
424,-1.90399453539
425,-2.25756155315
426,-3.20653696236
427,-1.86933157821
428,-1.21632878717
429,-1.81239601807
430,-9.13877713855
431,6.79516020989
432,6.8141125491
433,1.69578243528
434,-7.34900894668
435,6.47083704013
436,0.963015388309
437,2.41516541964
438,-2.63407515712
439,0.685715754339
440,0.99153455378
441,-0.340992192899
442,-14.8507385482
443,-4.11399179178
444,-10.1878441084
445,-12.623104715
446,0.684288744653
447,0.99877606588
448,9.0588679784
449,6.64180761767
450,6.1332089991
451,3.0036085589
452,-5.28215289868
453,-2.80744284809
454,3.19547439935
455,-137.945958527
456,-1.76414626357
457,-33.8137075481
458,-126.894144222
459,-133.389846246
460,-134.070754449
461,-1.30000107359
462,7.18981864031
463,-54.9424820768
464,-2.81369018176
465,3.04328416165
466,0.109675345708
467,3.02420356065
468,-0.988179302612
469,-132.021206915
470,-147.867876794
471,-134.391779422
472,-138.846115323
473,-146.349188472
474,3.44795639316
475,-4.49528535375
476,2.06696605416
477,8.33685008004
478,7.08065363319
479,-102.194578601
480,0.747645276841
481,0.922840015558
482,0.909971841246
483,3.57809328694
484,0.841272791035
485,0.91565678976
486,-2.38990655266
487,-4.10353283031
488,-5.58507242958
489,8.94392769283
490,-140.674466782
491,-106.653421006
492,-146.144156302
493,-9.596329838
494,9.66056061281
495,17.753114221
496,7.73536710647
497,-0.88784801534
498,-137.442364516
499,-132.869447447
500,-137.618926134
501,-138.244212596
502,-139.709504642
503,-134.41900038
504,-139.676134724
505,-143.68870361
506,-139.428419511
507,-132.114647521
508,-139.019880295
509,-133.016570403
510,-137.093480052
511,-137.870502898
512,-132.665567489
513,-135.854554276
514,-138.984721299
515,-141.703432613
516,-142.565784409
517,-134.191671391
518,-134.095211594
519,-135.414119363
520,-132.826138152
521,-135.68469201
522,-132.694599937
523,-135.032741959
524,-134.298833188
525,-140.680977269
526,-139.805171097
527,-141.585125631
528,-141.06902325
529,-139.7789945
530,-131.624466699
531,-139.78265064
532,-135.912406683
533,-146.388367118
534,-133.080553476
535,-136.962179218
536,-141.733325547
537,-145.888576677
538,-139.289649796
539,-138.446298986
540,-131.040477936
541,-139.410368545
542,-136.17230415
543,-136.171260374
544,-144.092197824
545,-135.003543188
546,-131.614727328
547,-131.853353283
548,-135.257525642
549,-137.816821528
550,-132.390045769
551,-140.736104372
552,-134.677257835
553,-134.237055824
554,-133.725101819
555,-140.615692305
556,-129.823674261
557,-135.265181973
558,-137.371960677
559,-146.704310549
560,-139.872581433
561,-131.121189239
562,-138.262626116
563,-139.474071682
564,-138.353082699
565,-143.686074405
566,-145.846618341
567,-131.949959669
568,-136.534166484
569,-130.921532792
570,-142.210259447
571,-132.155969848
572,-135.447589786
573,-140.325744422
574,-141.778063432
575,-135.710165986
576,-137.069825262
577,-133.32408783
578,-136.420603693
579,-136.99073042
580,-138.538513747
581,-134.294274068
582,-134.359409967
583,-136.023631073
584,-134.885959825
585,-141.349012906
586,-143.632719344
587,-132.597068147
588,-138.61975219
589,-140.465619369
590,-132.996862174
591,-144.212472646
592,-137.894742026
593,-132.503029296
594,-139.078722113
595,-132.219513903
596,-132.636168553
597,-138.956306555
598,-136.515427989
599,-139.765251126
600,-134.007357032
601,-134.814862777
602,-140.332299751
603,-139.924777166
604,-145.242126876
605,-133.133475208
606,-132.43256044
607,-131.906447687
608,-143.815714278
609,-136.210121212
610,-131.788489608
611,-137.896873111
612,-142.36825525
613,-142.553969073
614,-133.68340824
615,-141.23148758
616,-140.784860491
617,-139.32139513
618,-133.973690219
619,-135.31447183
620,-136.713602217
621,-125.254884895
622,5.40725868001
623,1.93129196527
624,-14.9947454985
625,7.98692719219
626,7.77506117493
627,5.74287290382
628,10.0994626461
629,4.59287508292
630,13.6850619449
631,-20.7787066724
632,-1.05178261993
633,-1.16057127646
634,-7.78857922861
635,4.35058890705
636,-135.907241649
637,9.17695529799
638,1.39907006759
639,-10.5491499277
640,-5.70823465422
641,-39.0574996856
642,-20.5840263977
643,-3.69087263391
644,-2.00482298435
645,7.7569367784
646,10.6172611675
647,10.5878346429
648,8.74940380307
649,8.90019637541
650,6.75575910502
651,-20.6764061607
652,-26.2225618028
653,-0.391926408387
654,14.2508453223
655,14.8816111867
656,14.873454049
657,1.50983062788
658,-4.42120048268
659,9.22318672296
660,4.98627679599
661,-0.128209808582
662,6.21520644007
663,8.40128289937
664,7.02934573626
665,5.21113607904
666,10.5503961014
667,11.3172936135
668,9.64624094599
669,8.78243260456
670,16.2778415471
671,5.48195397928
672,-9.35012210447
673,20.3939069531
674,13.6760929946
675,-19.3863164518
676,-63.9723601492
677,-19.8385975741
678,-51.3339113187
679,-62.0686180251
680,-202.308583216
681,-203.002457464
682,-207.472571447
683,-25.8852356808
684,-60.9007894122
685,-65.346963575
686,-93.7913216141
687,-132.647122665
688,-203.04567365
689,-203.090615313
690,-203.228622316
691,-203.158562751
692,1.96552492763
693,20.7448413455
694,20.813719558
695,19.5836836893
696,21.0219395499
697,19.9408476784
698,20.5118655512
699,20.3319466736
700,19.9202334544
701,20.9562766473
702,20.7029686163
703,20.8105095942
704,20.2526259727
705,20.12402754
706,20.5432089996
707,20.5455106666
708,8.18195620658
709,20.3369502074
710,23.8056403928
711,19.7724414234
712,19.422865872
713,23.8056439902
714,20.0880644183
715,18.366777538
716,11.8499136907
717,6.80205332491
718,20.3616497064
719,9.53625793384
720,19.9943099667
721,7.88461009403
722,6.51506418372
723,20.474440648
724,20.0946187792
725,11.023692078
726,23.8056158869
727,19.7108419864
728,10.5419759473
729,10.8559109559
730,10.9229622576
731,18.4214286464
732,10.8239065456
733,20.8387032657
734,19.8097881278
735,20.0891224031
736,20.3845523313
737,18.6516339642
738,10.7470999965
739,19.755524348
740,20.1319672041
741,20.670769984
742,3.99409394375
743,20.4703693014
744,19.541888804
745,20.8763461676
746,6.30058336703
747,11.0054740453
748,20.6787156356
749,18.9979907732
750,12.8989933005
751,17.3723544587
752,20.2666105353
753,7.07942120344
754,10.9823929196
755,8.60243227624
756,20.2230960596
757,11.2894780802
758,19.7977381282
759,20.2711011152
760,7.05449147011
761,12.0824564569
762,19.6376114856
763,20.4644535793
764,10.9022566213
765,23.8056390798
766,19.7885437262
767,7.95047591019
768,21.2540836913
769,23.8056416678
770,20.0768017349
771,11.0572895632
772,20.6856761543
773,20.6549320766
774,6.36184448773
775,20.1918167115
776,5.26212906165
777,11.5342269366
778,19.3446780003
779,20.6443452762
780,5.36247717951
781,23.8056273083
782,2.49872720088
783,9.42437819098
784,18.5911741496
785,2.15763841946
786,23.8056465703
787,2.3504997984
788,23.0497251329
789,20.8811265054
790,13.3455507048
791,0.665453499043
792,20.1357541778
793,10.4316784475
794,25.6506241562
795,16.4256607988
796,23.8056395173
797,20.5118212198
798,23.8056287126
799,21.2543058636
800,23.8056357398
801,23.8056422096
802,-4.15583157405
803,8.63136980339
804,-4.88755293034
805,21.2379785739
806,-4.14884146899
807,21.1399135205
808,23.8056349246
809,23.8056408964
810,3.36463324514
811,8.55278407047
812,6.34668039378
813,-4.73528844662
814,23.8056407401
815,5.78554130406
816,5.78819600129
817,4.17683001889
818,12.6709781213
819,23.8056639873
820,23.8056448788
821,23.8056366777
822,23.8056353703
823,1.19660350768
824,0.679942945676
825,17.9276812975
826,-1.73479468928
827,-1.26458343213
828,23.8056350798
829,0.670175247291
830,10.3672267098
831,12.7229300258
832,23.805640218
833,8.97404267094
