time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.07498079032e-07,-7.83786488154e-08,10.0025101325,6.28304035213,0.000121522285939,0.0,-9.91337347867e-06,-9.33252940526e-06,0.0836679309858,-0.0077484167777,0.0057964100257,0.0,431.1289832884424,431.6183241291532,432.32683948752947,431.6736532883301
0.12000000000000001,-4.61508920169e-06,-5.6658265772e-06,10.0113305742,6.2824656273,0.000173378339111,0.0,-0.000164149650499,-0.000231698949102,0.210331153189,-0.0135167076838,-0.0114913375903,0.0,446.10670250198046,444.6930880479165,445.4248991753325,444.95312497707806
0.18,-1.52954381667e-05,-3.67886547998e-05,10.026049051,6.28130464515,6.28237506166,0.0,-0.000112642737713,-0.00089823024725,0.280269504388,-0.0347832332681,-0.0286518020705,0.0,428.5197339152996,427.05879094160525,427.74292094363256,425.9282753989489
0.23999999999999996,3.73686132529e-06,-0.000142750346057,10.0481293623,6.27898633068,6.28073761306,0.0,0.000936791089051,-0.00288141119624,0.455685796578,-0.0477477068785,-0.0246993979924,0.0,460.60005618963146,460.9123227533721,460.38663029621307,459.3591585453381
0.3,0.00011131727937,-0.000404972070524,10.076710951,6.27617837148,6.27934535825,0.0,0.00278314274222,-0.00612386345882,0.49701465935,-0.0449675660738,-0.0203704529788,0.0,417.35672385298005,417.73423367654163,418.5381394361365,418.7785389615409
0.36000000000000004,0.000384266326854,-0.00096863559607,10.1150466548,6.27367152613,6.27845776537,0.0,0.00644846667336,-0.0129991829188,0.780688628573,-0.0360686843335,-0.00548547061976,0.0,491.1481940901623,492.2508635167099,492.06390534153235,492.7213654086601
0.4200000000000001,0.000891831351302,-0.00199968821568,10.1695550202,6.27112999733,6.27855751186,0.0,0.0104801783275,-0.0216556770491,1.03605762465,-0.0595159409275,0.0130852171861,0.0,483.7688598876542,485.16497811453206,485.125539380862,483.3610265166058
0.48000000000000015,0.00161326388524,-0.00356200062597,10.2347315321,6.26733750937,6.27939277019,0.0,0.0134843998745,-0.0307946404021,1.13639328773,-0.0718579841851,0.0155421252682,0.0,437.61370457247153,437.81803583495883,439.0378580366931,438.00973969653063
0.5400000000000001,0.00250193148356,-0.00577535333299,10.3072252357,6.26307840675,6.28021068851,0.0,0.016042044021,-0.0434459467129,1.27990563652,-0.0692948328327,0.0095083929588,0.0,451.5740514628688,451.0870093746989,452.2178646688118,452.4204890015198
0.6000000000000002,0.00352523888558,-0.00882772503769,10.3876984944,6.25869105505,6.28115528074,0.0,0.0179856018262,-0.0587453937666,1.40238395284,-0.0821502774715,0.0259575762679,0.0,444.2769379198632,445.62336565655534,446.8918964947557,445.8386987582075
0.6600000000000003,0.00463826051809,-0.0128509096383,10.4737944246,6.25361680768,6.28298480087,0.0,0.0189497109906,-0.0758425230444,1.46738585054,-0.0899101695803,0.0382916446907,0.0,426.8366009400324,427.888156319224,428.3701746518012,427.70365538147473
0.7200000000000003,0.00577059073602,-0.0180032366389,10.5638560233,6.24798035252,0.00231758982442,0.0,0.01855977934,-0.096433386871,1.53456146497,-0.103544766206,0.0484582722862,0.0,427.91544155518096,428.78094843074535,429.47705996504607,428.31120612549904
0.7800000000000004,0.00680894239492,-0.0247413918488,10.6644836173,6.2424981173,0.0054678062164,0.0,0.0156598144327,-0.128903927924,1.8192523109,-0.0742084600661,0.0595638016547,0.0,495.37643591249673,496.19378005967235,491.99263125976194,494.1531543275766
0.8400000000000004,0.00761381096859,-0.0333883582853,10.7779500787,6.23783280683,0.0089106013015,0.0,0.010789427181,-0.159811682985,1.96270195204,-0.0860031525489,0.0526112675202,0.0,454.1203337486247,453.56452401680724,454.39057779496085,453.43937720168793
0.9000000000000005,0.0081013990225,-0.0437542411585,10.8948262712,6.23298944906,0.0124138532828,0.0,0.00518526033489,-0.186133302323,1.9331967366,-0.0718393877088,0.0679699326104,0.0,397.3218350198924,398.7301269007205,397.12447351516283,398.41528823299586
0.9600000000000005,0.0080751923766,-0.0562278824108,11.0187357273,6.22828116096,0.0160846338463,0.0,-0.00654914429446,-0.23019324257,2.19660971718,-0.0970013196195,0.0419758213928,0.0,490.97053590649637,489.04043704752684,490.56951857033584,488.6931130742133
1.0200000000000005,0.00728400246785,-0.0713848813882,11.1568722452,6.22238745068,0.0188996609458,0.0,-0.0201346804507,-0.275709899841,2.40746934526,-0.100801229843,0.0553142761788,0.0,474.6300429027738,475.6537247676905,476.3880737908228,476.08985619813114
1.0800000000000005,0.00569125001468,-0.0891472022631,11.3033235118,6.21611254319,0.0224228071829,0.0,-0.0332874717255,-0.31695553762,2.4740455787,-0.113474119706,0.0647794620773,0.0,432.16341127906566,432.9629605684472,432.66989929981276,431.5916599961661
1.1400000000000006,0.0031585393224,-0.109741620162,11.4571849076,6.21095729374,0.0263776584346,0.0,-0.0515741012406,-0.370148652486,2.65420003094,-0.0572165784287,0.0680911599294,0.0,468.4500607069047,468.71047353347853,465.2421180731705,469.6187515281203
1.2000000000000006,-0.0004844066761,-0.133423078535,11.6189350638,6.20762409606,0.0304371953295,0.0,-0.0702579772167,-0.419556251964,2.73722906619,-0.0524197648204,0.0667806599624,0.0,439.6329231153958,439.52781772500197,438.31274661958224,438.70907285592693
1.2600000000000007,-0.00540925528495,-0.16032792773,11.7881801025,6.2043520064,0.0346930151902,0.0,-0.0943548813491,-0.477600164597,2.90380642233,-0.0591394886154,0.0781486957799,0.0,465.0764468315817,465.9695475646197,465.54247998985136,465.01454321642666
